鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區成洲五路1~30號,0.0,住,,,1090912,土地0建物1車位1,五層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040903,135.39,2,2,1,有,有,有,17800,145,坡道平面,33.0,3000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPTVMLNJJIPFFBF56CC
土城區,建物,新北市土城區明德路一段240巷26弄1~30號,0.0,住,,,1090827,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830301,156.56,2,2,1,有,有,無,23500,150,,0.0,0,,RPVPMLNJJIPFFAF88EC
三峽區,房地(土地+建物),新北市三峽區三樹路241~270號,17.2,住,,,1091025,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940609,115.82,3,2,2,有,有,有,22000,190,,0.0,0,,RPSOMLNJJIPFFIF09CC
樹林區,房地(土地+建物)+車位,新北市樹林區學勤路511~540號,15.37,住,,,1091101,土地1建物1車位1,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,134.94,2,2,1,有,有,有,25000,185,坡道平面,34.09,0,,RPTOMLNJJIPFFIF56CC
鶯歌區,建物,新北市鶯歌區鶯桃路413巷52弄1~30號,0.0,住,,,1091027,土地0建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,,4440.0,0,0,0,無,無,有,820000,,,0.0,0,含增建或未登記建物。;含管理費、稅金或水電等費用。;,RPRQMLNJJIPFFIF56CC
中和區,建物,新北市中和區圓通路241~270號,0.0,住,,,1091015,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010829,109.58,2,2,1,有,有,有,22000,201,,0.0,0,,RPSOMLNJJIPFFHF98CC
中和區,建物,新北市中和區景平路181~210號,0.0,其他,,,1091016,土地0建物1車位0,三十六層,41,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861104,42.830000000000005,1,2,1,有,有,有,15000,350,,0.0,0,含增建或未登記建物。;,RPOQMLNJJIPFFHF78CC
永和區,建物,新北市永和區成功路二段1~30號,0.0,住,,,1091016,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0660420,66.86,0,1,1,有,無,無,27000,404,,0.0,0,含增建或未登記建物。;,RPPQMLNJJIPFFHF88CC
淡水區,建物,新北市淡水區濱海路三段148巷50弄61~90號,0.0,住,,,1091015,土地0建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051025,169.53,3,2,2,有,有,有,22000,130,坡道平面,26.17,0,租金含管理費。,RPRNMLNJJIPFFEF48CC
淡水區,建物,新北市淡水區新市一路一段31~60號,0.0,住,,,1091016,土地0建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,108.45,3,2,2,有,有,有,17000,157,,0.0,0,,RPSRMLNJJIPFFEF98CC
